specimen_ID;date;species;sex;config;shoot;cam1;cam2;cam3;clap_cam1;clap_cam2;clap_cam3;offset_1;offset_2;offset_3;StartCamOrder;S1;S2;S3;S4;S5;S6;S7;S8;S9;S10;S11;S12;S13;S14;S15;S16;S17;S18
CL17_001;15.07.2017;deidamia;M;large;1;GOPR0740;GOPR9787;GOPR0031;3166;1094;5285;0;-2072;2119;3_1_2;4320;11280;25440;29520;34560;38400;43680;47760;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
CL17_002;15.07.2017;cisseis;M;large;1;GOPR0730;GOPR9777;GOPR0021;3555;1387;5653;0;-2168;2098;3_1_2;4800;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
CL17_002;15.07.2017;cisseis;M;large;2;GOPR0731;GOPR9778;GOPR0022;3892;1834;5979;0;-2058;2087;3_1_2;4800;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
CL17_002;15.07.2017;cisseis;M;large;3;GOPR0732;GOPR9779;GOPR0023;3190;1119;5351;0;-2071;2161;3_1_2;15120;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
CL17_002;15.07.2017;cisseis;M;large;4;GOPR0733;GOPR9780;GOPR0024;3193;1229;5305;0;-1964;2112;3_1_2;3840;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
CL17_002;15.07.2017;cisseis;M;large;5;GOPR0734;GOPR9781;GOPR0025;2523;683;4659;0;-1840;2136;3_1_2;6960;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
CL17_003;15.07.2017;cisseis;M;large;1;GOPR0735;GOPR9782;GOPR0026;3044;955;5284;0;-2089;2240;3_1_2;14160;16800;19440;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
CL17_003;15.07.2017;cisseis;M;large;2;GOPR0736;GOPR9783;GOPR0027;2790;798;4837;0;-1992;2047;3_1_2;3600;7920;11040;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
CL17_003;15.07.2017;cisseis;M;large;3;GOPR0737;GOPR9784;GOPR0028;3582;1274;5698;0;-2308;2116;3_1_2;4320;7200;12240;19680;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
CL17_004;15.07.2017;cisseis;M;large;1;GOPR0738;GOPR9785;GOPR0029;3191;1081;6032;0;-2110;2841;3_1_2;5040;10800;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
CL17_004;15.07.2017;cisseis;M;large;2;GOPR0739;GOPR9786;GOPR0030;2879;806;5137;0;-2073;2258;3_1_2;4080;5520;15840;19920;23520;26400;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
CL17_005;15.07.2017;menelaus;M;large;1;GOPR0745;GOPR9792;GOPR0036;2918;856;5055;0;-2062;2137;3_1_2;20400;44160;48000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
CL17_005;15.07.2017;menelaus;M;large;2;GOPR0746;GOPR9793;GOPR0037;2872;910;5008;0;-1962;2136;3_1_2;4080;9360;14880;21120;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
CL17_006;15.07.2017;menelaus;M;large;2;GOPR0744;GOPR9791;GOPR0035;3154;1039;5443;0;-2115;2289;3_1_2;11760;17760;32640;39840;46800;54480;58560;65280;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
CL17_007;15.07.2017;menelaus;M;large;1;GOPR0741;GOPR9788;GOPR0032;2748;921;4831;0;-1827;2083;3_1_2;3840;6720;7440;9600;28560;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
CL17_007;15.07.2017;menelaus;M;large;2;GOPR0742;GOPR9789;GOPR0033;3135;1172;5066;0;-1963;1931;3_1_2;4080;8400;11520;14880;22320;27360;30720;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
